state_two_letter_code,jurisdiction_name,jurisdiction_type,string_date_MDY,year_of_vote,month_of_vote,did_vote_pass,share_votes_yes,share_votes_no,vote_share_needed_to_pass,vote_margin,total_funds_at_stake,total_funds_approved,total_funds_appr_r2020,conservation_funds_at_stake,conservation_funds_approved,conservation_funds_appr_r2020,finance_mechanism,purpose,description,other_comment,vote_funding_notes,needed_sixty_percent_to_pass,needed_two_thirds_to_pass,gdp_price_deflator
AZ,Gilbert,Municipal,11/06/01,2001,11,1,69.38162265,30.61837735,50,19.381622,20394000,20394000,29010740,20394000,20394000,29010740,Bond,Open space,"Question 3; Portion of a bond issue for open space acquisition (total funds for measure, $57,481,000)",,,0,0,70.298103
AZ,Glendale,Municipal,11/02/99,1999,11,1,68.07585934,31.92414066,50,18.075859,53700000,53700000,79814280,53700000,53700000,79814280,Bond,"Open space, trails","Proposition 10, Bond for open space, trails",,,0,0,67.281197
AZ,Maricopa,Municipal,11/04/08,2008,11,1,61.27769374,38.72230626,50,11.277694,65500000,65500000,78846952,13500000,13500000,16250899,Bond,"Parks, recreation, trails",Bond for park acquisition and improvements,,"Question 5, Pinal County",0,0,83.072327
AZ,Maricopa County,County,11/05/91,1991,11,0,41.85965029,58.14034971,50,-8.1403494,40855000,0,0,8171000,0,0,Bond,"Recreation, parks",Park and Recreation bonds,,,0,0,57.991707
AZ,Mesa,Municipal,03/09/04,2004,3,1,51.12121315,48.87878685,50,1.1212132,9750000,9750000,13054211,9750000,9750000,13054211,Bond,"Open space, recreation","Bond to provide funds to acquire, construct and improve parks, open space, and lands",,Maricopa County,0,0,74.688545
AZ,Mesa,Municipal,11/06/18,2018,11,1,56.11189739,43.88810261,50,6.1118975,111000000,111000000,114103608,5900000,5900000,6064966.5,Bond,"Parks, trails, recreation",Bond for parks and recreation,,"Question 4, Maricopa County",0,0,97.280006
AZ,Peoria,Municipal,05-17-2005,2005,5,1,77.30320069,22.69679931,50,27.3032,35000000,35000000,45445076,23000000,23000000,29863908,Bond,"Open space, parks, trails, recreation","Bond to acquire, construct, improve and equip one or more parks for use as open space and for recreational purposes",,,0,0,77.016045
AZ,Peoria,Municipal,11/08/16,2016,11,0,44.42560285,55.57439715,50,-5.5743971,288000000,0,0,114962200,0,0,Sales tax,"Open space, recreation, parks","4/10th of a cent sales tax increase for parks, open space, trails and public safety",,"Maricopa County, Proposition 400",0,0,93.212456
AZ,Phoenix,Municipal,04-19-1988,1988,4,1,58.03379828,41.96620172,50,8.0337982,137240000,137240000,263789168,34810000,34810000,66908340,Bond,"Open space, parks","Proposition 8- Bond for 6,000 acres of open space preservation",,,0,0,52.026398
AZ,Phoenix,Municipal,09/07/99,1999,9,1,79.61363091,20.38636909,50,29.61363,256000000,256000000,380492640,256000000,256000000,380492640,Sales tax,"Open space, parks, recreation","Proposition 101, 10-year, .1 percent cent sales tax increase for open space, regional and neighborhood parks, recreation, public safety",,,0,0,67.281197
AZ,Phoenix,Municipal,03-13-2001,2001,3,1,76.70364501,23.29635499,50,26.703646,77000000,77000000,109533536,15000000,15000000,21337702,Bond,"Open space, recreation",Bond for open space and recreational facilities,,Maricopa County,0,0,70.298103
AZ,Phoenix,Municipal,03-14-2006,2006,3,1,63.14631597,36.85368403,50,13.146316,120500000,120500000,151859008,17060000,17060000,21499706,Bond,"Open space, parks, recreation","Bond for recreational opportunities, open spaces and parks",,Maricopa County,0,0,79.349922
AZ,Phoenix,Municipal,05-20-2008,2008,5,1,82.68667027,17.31332973,50,32.686668,900000000,900000000,1083393280,540000000,540000000,650035968,Sales tax,"Parks, recreation, open space","30-year, extension of .1 percent sales tax for open space, parks, and park improvements",,"Phoenix Parks and Preserve Initiative, Prop A",0,0,83.072327
AZ,Pima County,County,05-20-1997,1997,5,1,67.72425818,32.27574182,50,17.724258,36300000,36300000,55346936,36300000,36300000,55346936,Bond,"Open space, wildlife habitat, trails","Question Number 4: Sonoran Desert Open Space and Historic Preservation, Bond for Sonoran Desert open space, wildlife habitat, trails, cultural and historic sites",,,0,0,65.586288
AZ,Pima County,County,05-18-2004,2004,5,1,62.09498963,37.90501037,50,12.09499,96450000,96450000,129136272,96450000,96450000,129136272,Bond,"Parks, trails, recreation","Bond for the improvement and aquisition of land for parks, trails, and recreation",,,0,0,74.688545
AZ,Pima County,County,05-18-2004,2004,5,1,66.16330967,33.83669033,50,16.163309,174300000,174300000,233369120,174300000,174300000,233369120,Bond,"Open space, wildlife habitat, forests","Bond for open space, habitat protection, and forests",,,0,0,74.688545
AZ,Pima County,County,11/03/15,2015,11,0,39.75266094,60.24733906,50,-10.247339,112050000,0,0,98750000,0,0,Bond,"Open space, watershed protection","Proposition 430, Bond for natural area conservation and historic preservation",,Proposition 430,0,0,92.258728
AZ,Pima County,County,11/03/15,2015,11,0,39.28314179,60.71685821,50,-10.716858,91375000,0,0,5000000,0,0,Bond,Open space,"Proposition 426, Bond for economic development including Davis Monthan Air Force Base Land Acquisitions",,Proposition 426,0,0,92.258728
AZ,Pima County,County,11/03/15,2015,11,0,48.42577799,51.57422201,50,-1.574222,16935000,0,0,5000000,0,0,Bond,Watershed protection,"Proposition 431, Bond for flood control and drainage",,Proposition 431,0,0,92.258728
AZ,Prescott,Municipal,05-16-2000,2000,5,1,51.03199889,48.96800111,50,1.0319989,75000000,75000000,109034152,40000000,40000000,58151544,Sales tax,Open space,"1-cent sales tax, portion for open space",,,0,0,68.785789
AZ,Prescott,Municipal,08-25-2015,2015,8,0,42.32772436,57.67227564,50,-7.6722755,20800000,0,0,10400000,0,0,Sales tax,Open space,"20-year, .08 percent sales tax dedicated to the acquisition, maintenance, and improvement of open space","Also called ""transaction privilege tax""","Yavapai County, Question 4",0,0,92.258728
AZ,Scottsdale,Municipal,05-23-1995,1995,5,1,63.11023125,36.88976875,50,13.110231,272545560,272545560,430455424,272545560,272545560,430455424,Sales tax,"Open space, wildlife habitat, recreation","Proposition 400, 30-year, .2% transaction privilege and use tax acquisition of supplement private efforts to acquire land for the McDowell Sonoran Preserve",,,0,0,63.315628
AZ,Scottsdale,Municipal,09/11/99,1999,9,1,77.3252298,22.6747702,50,27.32523,200000000,200000000,297259872,200000000,200000000,297259872,Bond,Open space,"Question 1, Bond for acquisition of specified parcel",,,0,0,67.281197
AZ,Scottsdale,Municipal,05-18-2004,2004,5,1,54.52988743,45.47011257,50,4.5298872,430000000,430000000,575724160,230000000,230000000,307945472,Sales tax,Open space,"30-year, .15% sales tax increase for acquisition of specified open space parcel",,"Question 2 authorized bonds of $500M for the McDowell Sonoran Preserve.  If question 1 had failed, question 2 would have been nullified",0,0,74.688545
AZ,Tucson,Municipal,11/06/18,2018,11,1,55.87110495,44.12889505,50,5.8711047,225000000,225000000,231291104,24000000,24000000,24671052,Bond,"Parks, trails, recreation, greenways",Bond for parks and recreation,,"Prop 407, Pima County",0,0,97.280006
CA,Albany,Municipal,11/05/96,1996,11,1,61.54539988,38.45460012,50,11.5454,9600000,9600000,14889729,5000000,5000000,7755067,Other,"Recreation, open space, watershed protection","Measure R, establishment of an assessment district for open space",Benefit assessment,,0,0,64.473976
CA,Arcata,Municipal,11/03/20,2020,11,1,80.44637997,19.55362003,66.669998,13.776381,3500000,3500000,3500000,3500000,3500000,3500000,Other,"Open space, parks, wildlife habitat, watershed protection, trails, recreation, forests, wildlife prevention","$37 parcel tax for open space, parks, trails, forests, and wildfire prevention",Parcel tax,"Measure A, Humboldt County, 2/3rds req.",0,1,100
CA,Belmont,Municipal,11/04/97,1997,11,1,67.73049645,32.26950355,50,17.730497,,,,,,,Other,Open space,"Measure E, Advisory Vote on Preserving Land in San Juan Canyon",advisory measure,,0,0,65.586288
CA,California,State,06/07/88,1988,6,1,65.14748731,34.85251269,50,15.147488,776000000,776000000,1491550464,776000000,776000000,1491550464,Bond,"wildlife habitat, parks","Proposition # 70,Bond for acquisition of land for wildlife, costal, and park ",,,0,0,52.026398
CA,California,State,06/05/90,1990,6,1,52.42054298,47.57945702,50,2.420543,900000000,900000000,1604337920,900000000,900000000,1604337920,Other,"Wildlife habitat, open space",Initiative to provide $30 million annually for wildlife habitat protection and related purposes.  ,"Initiative creates the Habitat Conservation Fund funded by bonds, the Environmental License Plate Fund, the Tobacco Tax Fund, Wildlife Restoration Fund, Endangered Species Income Tax Checkoff","Proposition 117, at least 10 percent of the Tobacco tax Fund must be used for this initiative. ",0,0,56.097908
CA,California,State,11/06/90,1990,11,0,35.64654977,64.35345023,50,-14.35345,340000000,0,0,200000000,0,0,Bond,forests,"Proposition 128, Environmental Public Health Bond",,,0,0,56.097908
CA,California,State,11/06/90,1990,11,0,47.08191595,52.91808405,50,-2.9180841,437000000,0,0,437000000,0,0,Bond,"Recreation, park, wildlife habitat","Proposition # 149, bond for acquiring state and local park, beach, recreation, greenbelt, wildland fire protection, coastal, historic, or museum purposes",,,0,0,56.097908
CA,California,State,06/07/94,1994,6,0,27.03932128,72.96067872,50,-22.960678,2000000000,0,0,1500000000,0,0,Bond,"Open space, wildlife habitat, parks, forests","Proposition 180- Bond for the acquisition, development, restoration and conservation of parklands, historic sites, wildlife areas and forests",,,0,0,62.013885
CA,California,State,11/05/96,1996,11,1,62.83850737,37.16149263,50,12.838508,995000000,995000000,1543258368,200000000,200000000,310202688,Bond,"Watershed protection, wildlife habitat","Proposition 204, Clean Safe Reliable Water Supply Bond Act",,,0,0,64.473976
CA,California,State,03/07/00,2000,3,1,64.73553335,35.26446665,50,14.735534,1970000000,1970000000,2863963648,505000000,505000000,734163264,Bond,"Open space, watershed protection","Proposition 13, Safe Drinking Water, Watershed Protection, and Flood Control Bond",,,0,0,68.785789
CA,California,State,03/07/00,2000,3,1,63.11427538,36.88572462,50,13.114275,2100000000,2100000000,3052956160,1200000000,1200000000,1744546432,Bond,"Open space, watershed protection, parks","Proposition 12, Safe Neighborhoods, Clean Water and Coastal Protection Act",,,0,0,68.785789
CA,California,State,03/05/02,2002,3,1,56.85386928,43.14613072,50,6.8538694,2600000000,2600000000,3641004032,2300000000,2300000000,3220888064,Bond,"Parks, watershed protection","Proposition 40; bond for clean water, air, parks and coastal protection",,,0,0,71.408875
CA,California,State,11/05/02,2002,11,1,55.31785595,44.68214405,50,5.3178558,3440000000,3440000000,4817328640,1500000000,1500000000,2100579200,Bond,Watershed protection,"Proposition 50; bond to fund a variety of water projects, including coastal land protection",,,0,0,71.408875
CA,California,State,11/05/02,2002,11,0,41.42878239,58.57121761,50,-8.5712175,20000000000,0,0,2000000000,0,0,Other,Open space,Proposition 51; 30% of state revenues collected on motor vehicle tax to be allocated for transportation programs and land conservation,Motor vehicle tax,,0,0,71.408875
CA,California,State,11/07/06,2006,11,1,64.17025402,35.82974598,50,14.170254,4090000000,4090000000,5154384384,290000000,290000000,365469792,Bond,Watershed protection,"Proposition 1E, Bond for disaster preparedness and flood prevention which includes the acquisition of land",,,0,0,79.349922
CA,California,State,11/07/06,2006,11,1,57.76037515,42.23962485,50,7.760375,2850000000,2850000000,3591685888,400000000,400000000,504096288,Bond,"Parks, recreation","Prop. 1C, Housing bonds which include funding for public park acquisition",,,0,0,79.349922
CA,California,State,11/07/06,2006,11,1,53.79259493,46.20740507,50,3.7925949,5388000000,5388000000,6790176768,2253000000,2253000000,2839322368,Bond,"Watershed protection, parks","Prop 84, Parks and water bond to improve drinking water, flood control, protection of coastlines, and state parks",,Prop 84,0,0,79.349922
CA,California,State,11/02/10,2010,11,0,42.73475346,57.26524654,50,-7.2652464,10000000000,0,0,1500000000,0,0,Other,"Parks, wildlife habitat, recreation","Proposition 21, $18 vehicle license fee to provide funding for state parks and wildlife conservation",Vehicle license fee,,0,0,84.674057
CA,California,State,11/04/14,2014,11,1,67.12623167,32.87376833,50,17.126232,7545000000,7545000000,8263572480,1500000000,1500000000,1642857344,Bond,"Watershed protection, wildlife habitat","Bond to protect water quality, supply and infrastructure",,Prop 1,0,0,91.304337
CA,California,State,06/05/18,2018,6,1,57.3503357,42.6496643,50,7.3503356,4100000000,4100000000,4214637824,1796000000,1796000000,1846216960,Bond,"Open space, recreation, farmland, wildlife habitat, watershed protection, greenways, trails","The California Drought, Water, Parks, Climate, Coastal Protection, and Outdoor Access for All Act of 2018",,"Proposition 68, California Drought, Water, Parks, Climate, Coastal Protection, and Outdoor Access For All Act of 2018",0,0,97.280006
CA,California,State,11/06/18,2018,11,0,49.34889948,50.65110052,50,-0.65110052,8877000000,0,0,2080000000,0,0,Bond,"Open space, wildlife habitat, watershed protection",Bond for water infrastructure and watershed conservation,,Proposition 3,0,0,97.280006
CA,Carlsbad,Municipal,11/05/02,2002,11,1,59.7020934,40.2979066,50,9.7020931,,,,,,,Other,"Open space, trails",Establishes the authority to spend more than $1 million on capital projects including open space acquisition,Budget allocation,San Diego County,0,0,71.408875
CA,Carmel-by-the-Sea,Municipal,04/05/05,2005,4,0,54.24881033,45.75118967,66.669998,-12.421187,15000000,0,0,4000000,0,0,Other,"Open space, parks, forests","2% increase in hotel room tax, a portion of which would maintain, protect and enhance the city's beach, parks, open space and forest (2/3 required)",Transient occupancy tax,"Monterey County, 2/3rds vote required",0,1,77.016045
CA,Castro Valley,Municipal,11/07/06,2006,11,0,62.61509028,37.38490972,66.669998,-4.0549078,30000000,0,0,15500000,0,0,Bond,"Open space, parks, recreation",Bond to create the Castro Valley Park Zone through the acquisition and maintenance of open space and parkland,,"Alameda County, 2/3rd req., Measure Q",0,1,79.349922
CA,City and County of San Francisco,County,11/03/20,2020,11,1,70.62784577,29.37215423,66.669998,3.9578476,487500000,487500000,487500000,43000000,43000000,43000000,Bond,"Open space, parks, recreation, trails",2020 Health and Recovery Bond with funding included for parks and open spaces. ,,"Proposition A, 2/3rds req.",0,1,100
CA,Claremont,Municipal,07-25-2006,2006,7,0,43.99565296,56.00434704,50,-6.0043468,45991610,0,0,32194127,0,0,Other,Open space,"Creation of 35-year Park Enhancement Assessment District to help purchase open space including Johnson's Pasture, a 186-acre hillside",Benefit Assessment,Los Angeles County,0,0,79.349922
CA,Claremont,Municipal,11/07/06,2006,11,1,70.7841381,29.2158619,66.669998,4.11414,12500000,12500000,15753009,12500000,12500000,15753009,Bond,Open space,Bond for the purchase of Johnson's Pasture,,"2/3rds req. Measure S, LA County",0,1,79.349922
CA,Contra Costa County,County,07-27-2004,2004,7,0,50.11745227,49.88254773,66.669998,-16.552546,167320000,0,0,18102000,0,0,Other,"Open space, parks, farmland, watershed protection, trails. recreation, greenways",Creation of special assessment district to fund open space in Contra Costa County.,Benefit Assessment,Votes are weighted according to the amount of property each landowner will have assessed.,0,0,74.688545
CA,Cupertino,Municipal,11/06/90,1990,11,1,77.16156758,22.83843242,50,27.161568,62500000,62500000,111412352,62500000,62500000,111412352,Other,"Open space, recreation","25-year, 2.40 percent utility tax for the preservation of Blackberry Farm and other open space along with recreational facilities",Utility Tax,Santa Clara County,0,0,56.097908
CA,Davis,Municipal,11/07/00,2000,11,1,70.4546343,29.5453657,50,20.454634,17500000,17500000,25441302,17500000,17500000,25441302,Other,Open space,"Special Open Space Protection Tax for acquisition, improvements, and maintenance of open space",Parcel tax,,0,0,68.785789
CA,Duarte,Municipal,06-26-2001,2001,6,0,41.09589041,58.90410959,50,-8.90411,5000000,0,0,5000000,0,0,Other,Open space,Special $48 per parcel tax for open space acquisition and preservation (funds $5 million),parcel tax,requires two-thirds,0,1,70.298103
CA,East Bay Regional Park District,Special District,11/08/88,1988,11,1,68,,66.669998,1.3300018,225000000,225000000,432472768,168750000,168750000,324354560,Bond,"Open space, wildlife habitat, parks","Bond for the protection of wildlife, parks and open space through land acquisition",,"Alameda and Contra Costa Counties, 2/3rds req. 68% to 32%",0,1,52.026398
CA,East Bay Regional Park District,Special District,11/04/08,2008,11,1,71.91679956,28.08320044,66.669998,5.2468014,500000000,500000000,601885184,375000000,375000000,451413856,Bond,"Open space, parks, recreation, trails","Bond for the purchase of parkland, trails, and other recreational land",,"Alameda and Contra Costa counties, Measure WW, 2/3rds req.",0,1,83.072327
CA,Encinitas,Municipal,11/07/89,1989,11,0,55.31940017,44.68059983,66.669998,-11.350598,25000000,0,0,25000000,0,0,Bond,"Parks, open space, recreation",Bond for park and open space land acquistion,,2/3 vote required,0,1,54.069534
CA,Folsom,Municipal,11/05/96,1996,11,0,48.31968556,51.68031444,50,-1.6803144,9000000,0,0,,0,0,Bond,"Recreation, parks, trails","Measure G, Bond for Folsom Zoo, Gym, Historic Ranch, Parks, Trails, Recreation",,,0,0,64.473976
CA,Granite Bay Assessment District for Park and Recreation,Special District,11-20-2001,2001,11,1,63.35995877,36.64004123,50,13.359959,8388000,8388000,11932043,8388000,8388000,11932043,Other,"Open space, greenways, recreation","$58 per parcel annual assessment for maintenance, acquisition and development of park land and recreation areas, and walking and bike trails",Benefit assessment,mailed ballot for Granite Bay (an unicorporated area of Placer County),0,0,70.298103
CA,Irvine,Municipal,03/06/90,1990,3,0,24.05182125,75.94817875,50,-25.948179,57000000,0,0,20000000,0,0,Bond,"Parks, recreation",Bond for formation of Mello-Roos District to build parks,,,0,0,56.097908
CA,Laguna Beach,Municipal,11/06/90,1990,11,1,97.50765195,2.492348054,50,47.507652,20000000,20000000,35651952,20000000,20000000,35651952,Bond,"Open space, watershed protection. wildlife","Bond to acquire lands in Laguna Canyon for open space, wetlands, and wildlife habitat",,,0,0,56.097908
CA,Laguna Beach,Municipal,11/06/12,2012,11,0,44.81990631,55.18009369,50,-5.1800938,20000000,0,0,20000000,0,0,Other,Open space,"20-year, $120 annual parcel tax will be levied on parcels in the city and revenues used purchase open space",Parcel tax,"Orange County, Citizen Petition, 2/3rds required, Measure CC",0,1,88.103073
CA,Lompico,Special District,04-13-2004,2004,4,0,52.59938838,47.40061162,66.669998,-14.07061,60000,0,0,60000,0,0,Other,"Open space, parks, recreation","5-year, $25 per parcel recreation tax to support, preserve and provide parks, open space and recreational services",Parcel Tax,Santa Cruz County; 2/3 vote required,0,1,74.688545
CA,Los Angeles,Municipal,11/05/96,1996,11,1,50.19271913,49.80728087,50,0.19271913,500000000,500000000,775506688,30000000,30000000,46530400,Other,"Park, recreation","Measure K, assessment on real property",Benefit Assessment,,0,0,64.473976
CA,Los Angeles,Municipal,11/02/04,2004,11,1,76.29787604,23.70212396,66.669998,9.6278782,500000000,500000000,669446720,100000000,100000000,133889336,Bond,"Open space, parks","Proposition O, Clean water bond to reduce total maximum daily load, including storm water retention facilities, parks, and greenbelts.",,2/3rds required,0,1,74.688545
CA,Los Angeles County,County,06/04/90,1990,6,0,56.65086548,43.34913452,66.669998,-10.019133,816890000,0,0,20000000,0,0,Bond,"Open space, parks, trails",Proposition B-Bond for recreational and cultural projects,,2/3 vote required,0,1,56.097908
CA,Los Angeles County,County,06/04/91,1991,6,0,57,,66.669998,-9.6699982,817000000,0,0,20000000,0,0,Bond,"Parks, trails",Proposition B- Bond for recreational and cultural projects,,57% to 43%  2/3 vote needed,0,1,57.991707
CA,Los Angeles County,County,11/03/92,1992,11,1,63.9029013,36.0970987,50,13.902902,540000000,540000000,910447232,472330000,472330000,796354752,Other,"Open space, watershed protection, wildlife habitat, parks, trails","Measure A, Creation of a 22-year benefit assessment district to levy assessments on real property for open space, park and beach acquisition and related public works projects",Benefit Assessment,Majority vote required,0,0,59.311508
CA,Los Angeles County,County,11/05/96,1996,11,1,65.06996557,34.93003443,50,15.069965,319000000,319000000,494773280,150000000,150000000,232652000,Other,"Parks, recreation, watershed protection, open space","Proposition A, Safe Neighborhood Parks Act, 20-year assessment for parks, beaches, water quality, open space, and recreation",Benefit Assessment,,0,0,64.473976
CA,Los Angeles County,County,11/04/14,2014,11,0,62.8949242,37.1050758,66.669998,-3.775074,1627458840,0,0,895102362,0,0,Other,"Parks, recreation, watershed protection, wildlife habitat","30-year, $23 parcel tax for parks, recreation, and wildlife habitat",Parcel tax,"2/3rds req., Measure P",0,1,91.304337
CA,Los Angeles County,County,11/08/16,2016,11,1,74.9016589,25.0983411,66.669998,8.2316608,1890000000,1890000000,2027625984,491400000,491400000,527182752,Other,"Parks, recreation, watershed protection, wildlife habitat, trails, open space","$1.5 cent levy per square foot parcel tax for parks, recreation, and wildlife habitat",Parcel tax,"2/3rds req., Measure A",0,1,93.212456
CA,Malibu,Municipal,11/06/01,2001,11,0,61.29681836,38.70318164,66.669998,-5.3731799,15000000,0,0,15000000,0,0,Bond,"Parks, trails","Measure K; $15 million bond for parks, playgrounds, playing fields, trails, and community centers (measure needed 2/3 majority to pass)",,2/3rds needed to pass,0,1,70.298103
CA,Marin County,County,11/05/96,1996,11,0,57.66288138,42.33711862,66.669998,-9.0071163,5000000,0,0,5000000,0,0,Sales tax,"Open space, farmland, parks","Measure A, 10-years, 1/4 of 1 Percent Sales Tax Increase for Parks, Open Space, Farmland",,Needed 2/3 voter approval,0,1,64.473976
