state_two_letter_code,jurisdiction_name,jurisdiction_type,string_date_MDY,year_of_vote,month_of_vote,did_vote_pass,share_votes_yes,share_votes_no,vote_share_needed_to_pass,vote_margin,total_funds_at_stake,total_funds_approved,total_funds_appr_r2020,conservation_funds_at_stake,conservation_funds_approved,conservation_funds_appr_r2020,finance_mechanism,purpose,description,other_comment,vote_funding_notes,needed_sixty_percent_to_pass,needed_two_thirds_to_pass,gdp_price_deflator,GeoFIPS,region_number,income,Pop,GeoFIPS_0,precipitation_avg,office,candidate,party,candidatevotes,totalvotes,version,fair_market_r_0rooms,fair_market_r_1rooms,fair_market_r_3rooms,fair_market_r_4rooms
CA,Los Angeles,County,11/03/92,1992,11,1,63.9029013,36.0970987,50,13.902902,540000000,540000000,910447232,472330000,472330000,796354752,Other,"Open space, watershed protection, wildlife habitat, parks, trails","Measure A, Creation of a 22-year benefit assessment district to levy assessments on real property for open space, park and beach acquisition and related public works projects",Benefit Assessment,Majority vote required,0,0,59.311508,06037,8,201705385,9055424,6037,2.1333333333333333,NA,NA,NA,NA,NA,NA,562,683,1005,1126
CA,Los Angeles,County,11/05/96,1996,11,1,65.06996557,34.93003443,50,15.069965,319000000,319000000,494773280,150000000,150000000,232652000,Other,"Parks, recreation, watershed protection, open space","Proposition A, Safe Neighborhood Parks Act, 20-year assessment for parks, beaches, water quality, open space, and recreation",Benefit Assessment,,0,0,64.473976,06037,8,226737121,9127042,6037,1.5150000000000001,NA,NA,NA,NA,NA,NA,564,676,1154,1377
CA,Los Angeles,County,11/04/14,2014,11,0,62.8949242,37.1050758,66.669998,-3.775074,1627458840,0,0,895102362,0,0,Other,"Parks, recreation, watershed protection, wildlife habitat","30-year, $23 parcel tax for parks, recreation, and wildlife habitat",Parcel tax,"2/3rds req., Measure P",0,1,91.304337,06037,8,503099674,10051511,6037,0.86,NA,NA,NA,NA,NA,NA,896,1083,1890,2106
CA,Los Angeles,County,11/08/16,2016,11,1,74.9016589,25.0983411,66.669998,8.2316608,1890000000,1890000000,2027625984,491400000,491400000,527182752,Other,"Parks, recreation, watershed protection, wildlife habitat, trails, open space","$1.5 cent levy per square foot parcel tax for parks, recreation, and wildlife habitat",Parcel tax,"2/3rds req., Measure A",0,1,93.212456,06037,8,554158129,10121673,6037,1.0491666666666668,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,2464364,3434308,20220315,947,1154,2009,2227
CA,Los Angeles,County,11/08/16,2016,11,1,74.9016589,25.0983411,66.669998,8.2316608,1890000000,1890000000,2027625984,491400000,491400000,527182752,Other,"Parks, recreation, watershed protection, wildlife habitat, trails, open space","$1.5 cent levy per square foot parcel tax for parks, recreation, and wildlife habitat",Parcel tax,"2/3rds req., Measure A",0,1,93.212456,06037,8,554158129,10121673,6037,1.0491666666666668,US PRESIDENT,DONALD TRUMP,REPUBLICAN,769743,3434308,20220315,947,1154,2009,2227
CA,Los Angeles,County,11/08/16,2016,11,1,74.9016589,25.0983411,66.669998,8.2316608,1890000000,1890000000,2027625984,491400000,491400000,527182752,Other,"Parks, recreation, watershed protection, wildlife habitat, trails, open space","$1.5 cent levy per square foot parcel tax for parks, recreation, and wildlife habitat",Parcel tax,"2/3rds req., Measure A",0,1,93.212456,06037,8,554158129,10121673,6037,1.0491666666666668,US PRESIDENT,OTHER,OTHER,200201,3434308,20220315,947,1154,2009,2227
CA,Marin,County,11/05/96,1996,11,0,57.66288138,42.33711862,66.669998,-9.0071163,5000000,0,0,5000000,0,0,Sales tax,"Open space, farmland, parks","Measure A, 10-years, 1/4 of 1 Percent Sales Tax Increase for Parks, Open Space, Farmland",,Needed 2/3 voter approval,0,1,64.473976,06041,8,11625336,238705,6041,4.4275,NA,NA,NA,NA,NA,NA,580,751,1302,1377
CA,Marin,County,11/03/98,1998,11,0,42.50760553,57.49239447,50,-7.4923944,377127800,0,0,55000000,0,0,Sales tax,"Open space, trails, parks","Measure B, 20-year, 0.5-cent sales tax increase for transportation improvements, open space, trails, parks",,,0,0,66.324165,06041,8,14090044,244706,6041,4.82,NA,NA,NA,NA,NA,NA,603,781,1354,1432
CA,Marin,County,11/06/12,2012,11,1,74.36790146,25.63209854,66.669998,7.6979032,90000000,90000000,102153080,30000000,30000000,34051024,Sales tax,"Open space, parks, trails, recreation, farmland","9-year, .25 cent sales tax increase to fund parks, open space and farmland acquisitions",,"2/3rds req, Measure A",0,1,88.103073,06041,8,24416303,257034,6041,3.688333333333333,US PRESIDENT,BARACK OBAMA,DEMOCRAT,99896,134516,20220315,1238,1522,2543,2688
CA,Marin,County,11/06/12,2012,11,1,74.36790146,25.63209854,66.669998,7.6979032,90000000,90000000,102153080,30000000,30000000,34051024,Sales tax,"Open space, parks, trails, recreation, farmland","9-year, .25 cent sales tax increase to fund parks, open space and farmland acquisitions",,"2/3rds req, Measure A",0,1,88.103073,06041,8,24416303,257034,6041,3.688333333333333,US PRESIDENT,MITT ROMNEY,REPUBLICAN,30880,134516,20220315,1238,1522,2543,2688
CA,Marin,County,11/06/12,2012,11,1,74.36790146,25.63209854,66.669998,7.6979032,90000000,90000000,102153080,30000000,30000000,34051024,Sales tax,"Open space, parks, trails, recreation, farmland","9-year, .25 cent sales tax increase to fund parks, open space and farmland acquisitions",,"2/3rds req, Measure A",0,1,88.103073,06041,8,24416303,257034,6041,3.688333333333333,US PRESIDENT,OTHER,OTHER,3740,134516,20220315,1238,1522,2543,2688
CA,Marin,County,06/03/97,1997,6,1,68.23573017,31.76426983,50,18.235729,6000000,6000000,9148254,6000000,6000000,9148254,Other,Open space,Parcel tax to acquire peninsula properties for open space,Parcel Tax,,0,0,65.586288,06041,8,12517655,241797,6041,2.731666666666667,NA,NA,NA,NA,NA,NA,589,763,1323,1399
CA,Monterey,County,11/08/16,2016,11,1,71.87649417,28.12350583,66.669998,5.2064962,24000000,24000000,25747632,16800000,16800000,18023342,Other,"Open space, recreation, parks, trails, wildlife habitat, watershed protection","$25.26 parcel tax for open space, parks, habitat and protection of other natural areas",Parcel tax,"2/3rds vote req.  Vote by mail option, Measure E",0,1,93.212456,06053,8,22267892,438004,6053,1.7383333333333333,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,89088,133408,20220315,961,1114,2039,2181
CA,Monterey,County,11/08/16,2016,11,1,71.87649417,28.12350583,66.669998,5.2064962,24000000,24000000,25747632,16800000,16800000,18023342,Other,"Open space, recreation, parks, trails, wildlife habitat, watershed protection","$25.26 parcel tax for open space, parks, habitat and protection of other natural areas",Parcel tax,"2/3rds vote req.  Vote by mail option, Measure E",0,1,93.212456,06053,8,22267892,438004,6053,1.7383333333333333,US PRESIDENT,DONALD TRUMP,REPUBLICAN,34895,133408,20220315,961,1114,2039,2181
CA,Monterey,County,11/08/16,2016,11,1,71.87649417,28.12350583,66.669998,5.2064962,24000000,24000000,25747632,16800000,16800000,18023342,Other,"Open space, recreation, parks, trails, wildlife habitat, watershed protection","$25.26 parcel tax for open space, parks, habitat and protection of other natural areas",Parcel tax,"2/3rds vote req.  Vote by mail option, Measure E",0,1,93.212456,06053,8,22267892,438004,6053,1.7383333333333333,US PRESIDENT,OTHER,OTHER,9425,133408,20220315,961,1114,2039,2181
CA,Napa,County,11/07/00,2000,11,0,63.66533701,36.33466299,66.669998,-3.0046611,14900000,0,0,640700,0,0,Other,Open space,"1.5% transient occupancy tax (hotel tax)increase for acquisition, protection and enhancement of parks and open space, and for the Napa Valley Conference and Visitors Bureau",transient occupancy tax,2/3rd vote required,0,1,68.785789,06055,8,4739145,124565,6055,2.6033333333333335,US PRESIDENT,AL GORE,DEMOCRAT,28097,51724,20220315,580,659,1116,1317
CA,Napa,County,11/07/00,2000,11,0,63.66533701,36.33466299,66.669998,-3.0046611,14900000,0,0,640700,0,0,Other,Open space,"1.5% transient occupancy tax (hotel tax)increase for acquisition, protection and enhancement of parks and open space, and for the Napa Valley Conference and Visitors Bureau",transient occupancy tax,2/3rd vote required,0,1,68.785789,06055,8,4739145,124565,6055,2.6033333333333335,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,20633,51724,20220315,580,659,1116,1317
CA,Napa,County,11/07/00,2000,11,0,63.66533701,36.33466299,66.669998,-3.0046611,14900000,0,0,640700,0,0,Other,Open space,"1.5% transient occupancy tax (hotel tax)increase for acquisition, protection and enhancement of parks and open space, and for the Napa Valley Conference and Visitors Bureau",transient occupancy tax,2/3rd vote required,0,1,68.785789,06055,8,4739145,124565,6055,2.6033333333333335,US PRESIDENT,RALPH NADER,GREEN,2471,51724,20220315,580,659,1116,1317
CA,Napa,County,11/07/00,2000,11,0,63.66533701,36.33466299,66.669998,-3.0046611,14900000,0,0,640700,0,0,Other,Open space,"1.5% transient occupancy tax (hotel tax)increase for acquisition, protection and enhancement of parks and open space, and for the Napa Valley Conference and Visitors Bureau",transient occupancy tax,2/3rd vote required,0,1,68.785789,06055,8,4739145,124565,6055,2.6033333333333335,US PRESIDENT,OTHER,OTHER,523,51724,20220315,580,659,1116,1317
CA,Napa,County,11/03/92,1992,11,0,29.37646341,70.62353659,50,-20.623537,NA,0,0,NA,0,0,Sales tax,,,,Measure O,0,0,59.311508,06055,8,2840028,114322,6055,2.7666666666666666,NA,NA,NA,NA,NA,NA,488,559,949,1023
CA,Napa,County,11/08/16,2016,11,0,64.70062863,35.29937137,66.669998,-1.9693695,112000000,0,0,72800000,0,0,Sales tax,"Open space, recreation, parks, trails, wildlife habitat, watershed protection","14-year, .25 percent sales tax increase for the protection and restoration of watersheds and open spaces",,"Measure Z, 2/3rds req.",0,1,93.212456,06055,8,9415486,141789,6055,3.000833333333333,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,39199,61372,20220315,925,1145,2186,2368
CA,Napa,County,11/08/16,2016,11,0,64.70062863,35.29937137,66.669998,-1.9693695,112000000,0,0,72800000,0,0,Sales tax,"Open space, recreation, parks, trails, wildlife habitat, watershed protection","14-year, .25 percent sales tax increase for the protection and restoration of watersheds and open spaces",,"Measure Z, 2/3rds req.",0,1,93.212456,06055,8,9415486,141789,6055,3.000833333333333,US PRESIDENT,DONALD TRUMP,REPUBLICAN,17411,61372,20220315,925,1145,2186,2368
CA,Napa,County,11/08/16,2016,11,0,64.70062863,35.29937137,66.669998,-1.9693695,112000000,0,0,72800000,0,0,Sales tax,"Open space, recreation, parks, trails, wildlife habitat, watershed protection","14-year, .25 percent sales tax increase for the protection and restoration of watersheds and open spaces",,"Measure Z, 2/3rds req.",0,1,93.212456,06055,8,9415486,141789,6055,3.000833333333333,US PRESIDENT,OTHER,OTHER,4762,61372,20220315,925,1145,2186,2368
CA,Napa,County,03/03/20,2020,3,0,63.08064694,36.91935306,66.669998,-3.5893512,135000000,0,0,70200000,0,0,Sales tax,"Open space, parks, wildlife habitat, watershed protection, trails, recreation, farmland, wildfire","15-year , .25 cent sales tax increase for the protection of water, parks, and open space",,"Measure K, 2/3rds req.",0,1,100,06055,8,11260752,137485,6055,0.86,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,49817,72150,20220315,1225,1427,2712,2803
CA,Napa,County,03/03/20,2020,3,0,63.08064694,36.91935306,66.669998,-3.5893512,135000000,0,0,70200000,0,0,Sales tax,"Open space, parks, wildlife habitat, watershed protection, trails, recreation, farmland, wildfire","15-year , .25 cent sales tax increase for the protection of water, parks, and open space",,"Measure K, 2/3rds req.",0,1,100,06055,8,11260752,137485,6055,0.86,US PRESIDENT,OTHER,GREEN,310,72150,20220315,1225,1427,2712,2803
CA,Napa,County,03/03/20,2020,3,0,63.08064694,36.91935306,66.669998,-3.5893512,135000000,0,0,70200000,0,0,Sales tax,"Open space, parks, wildlife habitat, watershed protection, trails, recreation, farmland, wildfire","15-year , .25 cent sales tax increase for the protection of water, parks, and open space",,"Measure K, 2/3rds req.",0,1,100,06055,8,11260752,137485,6055,0.86,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,914,72150,20220315,1225,1427,2712,2803
CA,Napa,County,03/03/20,2020,3,0,63.08064694,36.91935306,66.669998,-3.5893512,135000000,0,0,70200000,0,0,Sales tax,"Open space, parks, wildlife habitat, watershed protection, trails, recreation, farmland, wildfire","15-year , .25 cent sales tax increase for the protection of water, parks, and open space",,"Measure K, 2/3rds req.",0,1,100,06055,8,11260752,137485,6055,0.86,US PRESIDENT,OTHER,OTHER,433,72150,20220315,1225,1427,2712,2803
CA,Napa,County,03/03/20,2020,3,0,63.08064694,36.91935306,66.669998,-3.5893512,135000000,0,0,70200000,0,0,Sales tax,"Open space, parks, wildlife habitat, watershed protection, trails, recreation, farmland, wildfire","15-year , .25 cent sales tax increase for the protection of water, parks, and open space",,"Measure K, 2/3rds req.",0,1,100,06055,8,11260752,137485,6055,0.86,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,20676,72150,20220315,1225,1427,2712,2803
CA,Orange,County,11/07/06,2006,11,1,69.66097113,30.33902887,66.669998,2.990973,11800000000,11800000000,14870840320,244000000,244000000,307498720,Sales tax,"Wildlife, open space","Measure M, 30-year extension of .5 cent sales tax for transportation purposes which includes funding for the preservation of areas of high ecological value including habitat",,2/3rds req.,0,1,79.349922,06059,8,147668004,2932261,6059,0.8008333333333333,NA,NA,NA,NA,NA,NA,1034,1161,1992,2288
CA,Placer,County,11/07/00,2000,11,0,27.36134454,72.63865546,50,-22.638655,200000000,0,0,150000000,0,0,Sales tax,Open space,"Measure W, 20-year, 1/4-cent sales tax increase to protect land around water, save farmland, develop new parks and trails, protect scenic landscapes",,,0,0,68.785789,06061,8,9376679,251012,6061,4.03,US PRESIDENT,AL GORE,DEMOCRAT,42449,117799,20220315,447,504,875,1031
CA,Placer,County,11/07/00,2000,11,0,27.36134454,72.63865546,50,-22.638655,200000000,0,0,150000000,0,0,Sales tax,Open space,"Measure W, 20-year, 1/4-cent sales tax increase to protect land around water, save farmland, develop new parks and trails, protect scenic landscapes",,,0,0,68.785789,06061,8,9376679,251012,6061,4.03,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,69835,117799,20220315,447,504,875,1031
CA,Placer,County,11/07/00,2000,11,0,27.36134454,72.63865546,50,-22.638655,200000000,0,0,150000000,0,0,Sales tax,Open space,"Measure W, 20-year, 1/4-cent sales tax increase to protect land around water, save farmland, develop new parks and trails, protect scenic landscapes",,,0,0,68.785789,06061,8,9376679,251012,6061,4.03,US PRESIDENT,RALPH NADER,GREEN,4449,117799,20220315,447,504,875,1031
CA,Placer,County,11/07/00,2000,11,0,27.36134454,72.63865546,50,-22.638655,200000000,0,0,150000000,0,0,Sales tax,Open space,"Measure W, 20-year, 1/4-cent sales tax increase to protect land around water, save farmland, develop new parks and trails, protect scenic landscapes",,,0,0,68.785789,06061,8,9376679,251012,6061,4.03,US PRESIDENT,OTHER,OTHER,1066,117799,20220315,447,504,875,1031
CA,Sacramento,County,11/01/94,1994,11,0,47.77729434,52.22270566,50,-2.2227056,26500000,0,0,13000000,0,0,Other,"Open space, parks, wildlife habitat","""People for Safe Parks"", $10 Property Assessment ",Parcel tax,,0,0,62.013885,06067,8,25604883,1130094,6067,1.2766666666666666,NA,NA,NA,NA,NA,NA,440,496,862,1016
CA,Sacramento,County,11/02/04,2004,11,1,75.28574058,24.71425942,66.669998,8.6157427,4740000000,4740000000,6346354688,48000000,48000000,64266884,Sales tax,Open space,"Measure A, 30-year renewal, 1/2 cent sales tax for transportation purposes with a portion to acquire open space",,2/3rds required,0,1,74.688545,06067,8,46205070,1348932,6067,1.5091666666666665,US PRESIDENT,JOHN KERRY,DEMOCRAT,236657,476765,20220315,674,759,1318,1554
CA,Sacramento,County,11/02/04,2004,11,1,75.28574058,24.71425942,66.669998,8.6157427,4740000000,4740000000,6346354688,48000000,48000000,64266884,Sales tax,Open space,"Measure A, 30-year renewal, 1/2 cent sales tax for transportation purposes with a portion to acquire open space",,2/3rds required,0,1,74.688545,06067,8,46205070,1348932,6067,1.5091666666666665,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,235539,476765,20220315,674,759,1318,1554
CA,Sacramento,County,11/02/04,2004,11,1,75.28574058,24.71425942,66.669998,8.6157427,4740000000,4740000000,6346354688,48000000,48000000,64266884,Sales tax,Open space,"Measure A, 30-year renewal, 1/2 cent sales tax for transportation purposes with a portion to acquire open space",,2/3rds required,0,1,74.688545,06067,8,46205070,1348932,6067,1.5091666666666665,US PRESIDENT,OTHER,OTHER,4569,476765,20220315,674,759,1318,1554
CA,San Diego,County,11/02/04,2004,11,1,67.01141143,32.98858857,66.669998,0.34141326,14000000000,14000000000,18744508416,880000000,880000000,1178226176,Sales tax,Open space,"Measure A, 40-year extension of a 1/2 cent sales tax for transit improvements, including mitigation projects",,2/3rds required,0,1,74.688545,06073,8,116704322,2930007,6073,1.1575,US PRESIDENT,JOHN KERRY,DEMOCRAT,526437,1133584,20220315,822,939,1636,1928
CA,San Diego,County,11/02/04,2004,11,1,67.01141143,32.98858857,66.669998,0.34141326,14000000000,14000000000,18744508416,880000000,880000000,1178226176,Sales tax,Open space,"Measure A, 40-year extension of a 1/2 cent sales tax for transit improvements, including mitigation projects",,2/3rds required,0,1,74.688545,06073,8,116704322,2930007,6073,1.1575,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,596033,1133584,20220315,822,939,1636,1928
CA,San Diego,County,11/02/04,2004,11,1,67.01141143,32.98858857,66.669998,0.34141326,14000000000,14000000000,18744508416,880000000,880000000,1178226176,Sales tax,Open space,"Measure A, 40-year extension of a 1/2 cent sales tax for transit improvements, including mitigation projects",,2/3rds required,0,1,74.688545,06073,8,116704322,2930007,6073,1.1575,US PRESIDENT,OTHER,OTHER,11114,1133584,20220315,822,939,1636,1928
CA,San Diego,County,11/08/16,2016,11,0,58.36891435,41.63108565,66.669998,-8.3010836,18000000000,0,0,2000000000,0,0,Sales tax,"Open space, wildlife habitat, watershed protection","40-year, .5 cent sales tax increase for highway, transit, open space, bike, and pedestrian projects",,"Measure A, 2/3rd req.",0,1,93.212456,06073,8,180838809,3283586,6073,1.0975,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,735476,1306400,20220315,1040,1153,2167,2329
